Number,Name of Club,Description,Tags,City,Web,Address,Phone,Response,Survey Completed,Contact,Latitude,Longitude
,,,,,,,,,,,,
1,Degree,"If you are out and about looking for live entertainment? Our resident and guest DJ's play every Friday and Saturday nights.Friday night's David James and Mikael Wills crank up the night with ""Crossover"" Aucklands premier Friday club night. David and Mikael fuse together the best in Electro, Dutch, House and all of your favourites plus a few original tracks! Saturday nights Degree hosts some of the biggest club nights in Auckland from Karn Hall and ""Smash Disco"" Sample Gee with ""Party Rockin"" and David James and Mikael Wills with ""Electrik Blender"" you will always find a party happening at Degree.","music_electro,music_dutch,music_house",Auckland,http://www.degree.co.nz,"180 Quay Street, Viaduct Harbour",(09) 377 1200 ,,,,-36.8454243,174.7582577
2,1885 Britomart,"Evening performances from jazz, soul, blues and funk musicians, followed by an assortment of late-night DJs. Please refer to the entertainment listings below for further information.","music_jazz,music_soul,music_blues,music_funk",Auckland,http://www.1885.co.nz/britomart/,"27 Galway Street
Britomart,
Auckland City, 1010",(09) 551 3100,,,,-36.9279729,174.7882881
4,A'isha,"A'isha is a truly underground club where music and a friendly atmosphere are their main focus, quality staff and only the best DJs. A'isha has a comfortable lounge area, large dance floor and a separate function room for those requiring that little bit of privacy and space.",,Auckland,,"1 Wellesley Street West, Auckland",(09) 309 8282,,,,-36.850676,174.7642508
5,Be Club,"Since opening its doors in 2009 Be has become the benchmark venue for the Auckland dance community with unrivalled line ups and an unparalleled sound system. Be's popularity is a reflection of the environment they have created, with friendly and professional security, excellent bar service, and a relaxed and intimate environment to enjoy only the best music.",,Auckland,https://www.facebook.com/BEclubNZ,"8 Commerce Street, Auckland",(09) 337 0025,,,,-36.8454567,174.7678499
6,Bungalow 8,"Bungalow 8 offers vibrancy and colour to the ever-popular Viaduct Harbour. Since it’s inception in 2006, Bungalow 8 have played host to some of the words most recognisable and established public figures. Bungalow's brag book features names such as Sir Richard Branson and Justin Timberlake.  ",,Auckland,http://www.showcasehospitality.co.nz/microsite/bungalow8,"48 Market Place, Auckland CBD",(09) 307 1500,,,,-36.843515,174.761738
7,Club DELUXE,"Deluxe Nightclub is taking the Auckland nightlife scene to another level with its amazing marble wall and bar and plush leather VIP booths available for hire. Always featuring top DJs playing a selection of sexy house, pop and RnB for your listening pleasure, and entertainment such as burlesque dancers and themed events. ","music_house,music_pop,music_rnb",Auckland,,"146 Karangahape Road, Auckland",(021) 353566,,,,-36.8580625,174.7607858
8,Devo Nightclub,"Devo Niteclub, located at 17 Albert Street features a brand new soundsystem, new lighting and lasers, furniture and a host of NZ's leading DJs every weekend to ensure you get a clubbing experience you won't forget.",,Auckland,,"17 Albert Street, Auckland CBD",(09) 366 6279,,,,-36.8453689,174.7648736
9,Flight Lounge,Blink and you might miss the hidden door which leads you to one of the best nightclubs in Auckland CBD. But once behind the hidden door you will find a stylish club where heritage elements such as the 150 year old blue stone quarried walls are mixed with modern fittings such as sweeping curved couches and decadent gold curtains. Flight Lounge delivers the total experience which has lead them to be voted NZ’s number one cocktail lounge in 2010. ,,Auckland,http://www.flightlounge.co.nz/,"1 Fort Lane, Auckland CBD",(09) 309 6569,,,,-36.8457055,174.7672947
10,Globe Bar,"Globe Bar is New Zealand's premium traveller's bar, with entertainment shows, wild themes and pool competitions every night - supported by some of Auckland's finest DJs. No matter what day of the week, Globe Bar will be holding one of its wild parties that has established its reputation as an internationally renowned bar. ",,Auckland,http://www.globebar.co.nz/default.aspx,"Darby Street, Auckland CBD",(09) 357 3980,,,,-36.8496274,174.7644203
